,folder_name,area_name,year,xmin,ymin,zmin,xmax,ymax,zmax,points
26,AK_Valdez_2007/,AK_Valdez,2007,-16324097,8595907,-39642,-16243073,8676931,41382,798336818
27,AK_YukonFlats_2009/,AK_YukonFlats,2009,-16355534,9810051,-115199,-16124550,10041035,115785,968643215
28,AL_25Co_TL_2017/,AL_25Co_TL,2017,-9738245,3679488,-76796,-9583993,3833740,77456,25358618
29,AL_BaldwinCo-East_2011/,AL_BaldwinCo-East,2011,-9769660,3541928,-28229,-9711848,3599740,29583,1761346914
30,AL_BaldwinCo-West_2011/,AL_BaldwinCo-West,2011,-9806543,3585333,-14547,-9776607,3615269,15389,583915920
31,AL_BlountCo_2010/,AL_BlountCo,2010,-9680980,3993429,-36796,-9606762,4067647,37422,6784747694
32,AL_ColbertLauderdale_2011/,AL_ColbertLauderdale,2011,-9819698,4079099,-56296,-9707786,4191011,55616,8415951101
33,AL_NorthAL_2019/,AL_NorthAL,2019,-9680134,4083753,-40167,-9599032,4164855,40935,17049074343
34,AL_TriCounty_2010/,AL_TriCounty,2010,-9638897,3908730,-59670,-9519967,4027660,59260,14056469697
35,AR-TN_NRCS_CaneCreek_2010/,AR-TN_NRCS_CaneCreek,2010,-9988653,4246921,-16161,-9955677,4279897,16815,2020907672
36,AR-TN_NRCS_Sharkey_2010/,AR-TN_NRCS_Sharkey,2010,-10049752,4228773,-41023,-9967132,4311393,41597,4552390775
37,ARRA-AK_EkluntaGlacier_2010/,ARRA-AK_EkluntaGlacier,2010,-16603766,8652921,-22853,-16555184,8701503,25729,222033349
38,ARRA-AL_MobileBay_2010/,ARRA-AL_MobileBay,2010,-9800749,3540495,-36278,-9727125,3614119,37346,2967270338
39,ARRA-AL_TennesseeRiver_2010/,ARRA-AL_TennesseeRiver,2010,-9938965,3832734,-117185,-9704069,4067630,117711,1100765751
40,ARRA-CA_CentralCoast-Z3_2010/,ARRA-CA_CentralCoast-Z3,2010,-13621084,4395815,-45935,-13528984,4487915,46165,3288590995
41,ARRA-CA_CentralCoast-Z4_2010/,ARRA-CA_CentralCoast-Z4,2010,-13590521,4270733,-81493,-13426673,4434581,82355,5161164938
42,ARRA-CA_ChannelIslands-10_2010/,ARRA-CA_ChannelIslands-10,2010,-13411348,3998023,-28335,-13353676,4055695,29337,2031643056
43,ARRA-CA_ChannelIslands-11_2010/,ARRA-CA_ChannelIslands-11,2010,-13387398,3928047,-68890,-13248460,4066985,70048,4146924496
44,ARRA-CA_GoldenGate_2010/,ARRA-CA_GoldenGate,2010,-13720506,4498165,-67129,-13585440,4633231,67937,8777987577
45,ARRA-CA_SanFranCoast_2010/,ARRA-CA_SanFranCoast,2010,-13694835,4483742,-61668,-13569237,4609340,63930,2215580200
46,ARRA-CO_GrandCo_2010/,ARRA-CO_GrandCo,2010,-11840024,4792671,-56144,-11722632,4910063,61248,4332851582
47,ARRA-FL_Charlotte-E_2010/,ARRA-FL_Charlotte-E,2010,-9084779,3094427,-8774,-9065857,3113349,10148,368962146
48,ARRA-FL_Charlotte-W_2010/,ARRA-FL_Charlotte-W,2010,-9103062,3096199,-11373,-9078994,3120267,12695,693122831
49,ARRA-FL_KissimmeeRiver_2011/,ARRA-FL_KissimmeeRiver,2011,-9070581,3171193,-32106,-9005243,3236531,33232,2209333352
50,ARRA-FL_LibertyCo_2010/,ARRA-FL_LibertyCo,2010,-9503474,3502055,-40299,-9421760,3583769,41415,2068638919
51,ARRA-FL_SuwanneeRiver_2011/,ARRA-FL_SuwanneeRiver,2011,-9287698,3494213,-54354,-9178522,3603389,54822,8440057507
52,ARRA-FL_UpperStJohnsRiver_2010/,ARRA-FL_UpperStJohnsRiver,2010,-9052187,3260141,-43915,-8963359,3348969,44913,5191557888
53,ARRA-GA_LakeLanier_2010/,ARRA-GA_LakeLanier,2010,-9372429,4041232,-60464,-9249099,4164562,62866,12898552218
54,ARRA-IL_LakeCo_2007/,ARRA-IL_LakeCo,2007,-9819590,5183551,-25383,-9767344,5235797,26863,1591643151
55,ARRA-IN_Flood_2010/,ARRA-IN_Flood,2010,-9854076,4700309,-207274,-9437696,5116689,209106,1458049728
56,ARRA-LA_Coastal-Z15_2011/,ARRA-LA_Coastal-Z15,2011,-10256615,3323972,-105216,-10045421,3535166,105978,2516760598
57,ARRA-LA_Coastal-Z16_2011/,ARRA-LA_Coastal-Z16,2011,-10051791,3363098,-86508,-9878065,3536824,87218,3227227049
58,ARRA-LFTNE_ConnecticutZ18_2010/,ARRA-LFTNE_ConnecticutZ18,2010,-8207630,5002650,-35539,-8135274,5075006,36817,1619446898
59,ARRA-LFTNE_ConnecticutZ19_2011/,ARRA-LFTNE_ConnecticutZ19,2011,-8052420,5056933,-53904,-7945012,5164341,53504,1149839529
60,ARRA-LFTNE_Massachusetts_2011/,ARRA-LFTNE_Massachusetts,2011,-7994982,5082966,-106293,-7782402,5295546,106287,18400553200
61,ARRA-LFTNE_NewHampshire_2011/,ARRA-LFTNE_NewHampshire,2011,-7957116,5263348,-52736,-7850314,5370150,54066,3175802318
62,ARRA-LFTNE_NewYork_2010/,ARRA-LFTNE_NewYork,2010,-8300763,4949772,-81587,-8136371,5114164,82805,1932340599
63,ARRA-LFTNE_RhodeIsland_2011/,ARRA-LFTNE_RhodeIsland,2011,-8025923,5033699,-66235,-7893883,5165739,65805,9901691046
64,ARRA-MI_4SECounties_2010/,ARRA-MI_4SECounties,2010,-9382114,5117073,-111344,-9158558,5340629,112212,8441775902
65,ARRA-MI_LowerPeninsula_2010/,ARRA-MI_LowerPeninsula,2010,-9404803,5382538,-81561,-9239453,5547888,83789,1964334277
66,ARRA-MI_TriCounty_2010/,ARRA-MI_TriCounty,2010,-9474180,5221561,-54840,-9363550,5332191,55790,6090068838
67,ARRA-MO_StoneCo_2010/,ARRA-MO_StoneCo,2010,-10429484,4387734,-24482,-10378058,4439160,26944,1926491853
68,ARRA-NE_PlatteRiver_2010/,ARRA-NE_PlatteRiver,2010,-11583929,5118323,-32261,-11517235,5185017,34433,1139155583
69,ARRA-NJ_3Counties_2010/,ARRA-NJ_3Counties,2010,-8361710,4763035,-69405,-8222262,4902483,70043,8724071951
70,ARRA-NRCS_Illinois_2010/,ARRA-NRCS_Illinois,2010,-10002136,4721425,-17332,-9965780,4757781,19024,589896031
71,ARRA-NRCS_Kentucky_2010/,ARRA-NRCS_Kentucky,2010,-9747480,4405183,-15559,-9715976,4436687,15945,1792838311
72,ARRA-OR_SandyRiver_2010/,ARRA-OR_SandyRiver,2010,-13628527,5678143,-17801,-13592347,5714323,18379,1530456117
73,ARRA-SC_AllendaleCo_2010/,ARRA-SC_AllendaleCo,2010,-9085925,3858960,-29890,-9025957,3918928,30078,3945911383
74,ARRA-SC_BambergCo_2010/,ARRA-SC_BambergCo,2010,-9047051,3897147,-29880,-8988537,3955661,28634,2586155828
75,ARRA-SC_HamptonCo_2010/,ARRA-SC_HamptonCo,2010,-9065706,3832721,-34447,-8996934,3901493,34325,5507032583
76,ARRA-SC_LeeCo_2010/,ARRA-SC_LeeCo,2010,-8960936,4021649,-27840,-8903654,4078931,29442,2972859849
77,ARRA-TN_SmokyMtns_2011/,ARRA-TN_SmokyMtns,2011,-9354666,4201978,-51504,-9250230,4306414,52932,3750300767
78,ARRA-TX_CalhounCo_2010/,ARRA-TX_CalhounCo,2010,-10798667,3257020,-42179,-10714135,3341552,42353,709386374
79,ARRA-TX_HidalgoCo_2010/,ARRA-TX_HidalgoCo,2010,-10971530,3011182,-39754,-10892232,3090480,39544,1053503931
80,ARRA-TX_NuecesCo_2010/,ARRA-TX_NuecesCo,2010,-10903020,3170733,-50027,-10802720,3271033,50273,1299260404
81,ARRA-TX_WilacyCo_2010/,ARRA-TX_WilacyCo,2010,-10910655,3016365,-43841,-10822833,3104187,43981,693154866
82,ARRA-WI_BrownCo_2010/,ARRA-WI_BrownCo,2010,-9830659,5502714,-33215,-9762415,5570958,35029,2109719630
83,AR_BuffaloRiver_2009/,AR_BuffaloRiver,2009,-10380555,4299615,-13777,-10352711,4327459,14067,1799213183
84,AR_BuffaloRiver_2010/,AR_BuffaloRiver,2010,-10402037,4247358,-58479,-10282765,4366630,60793,3574217153
85,AR_Dardanelle_2011/,AR_Dardanelle,2011,-10446675,4195165,-18653,-10406949,4234891,21073,487044329
86,AR_FEMA-ChicotDesha_2011/,AR_FEMA-ChicotDesha,2011,-10264448,3894552,-82073,-10098570,4060430,83805,6429732777
87,AR_FEMA-VI-BayouMeto_2012/,AR_FEMA-VI-BayouMeto,2012,-10272804,4077758,-46952,-10176936,4173626,48916,1574624597
88,AR_LowerStFrancisRiver-FEMA_2012/,AR_LowerStFrancisRiver-FEMA,2012,-10121457,4252519,-60448,-9999223,4374753,61786,3788850988
89,AR_McKinneyPosten_2011/,AR_McKinneyPosten,2011,-10445617,3961795,-7139,-10430075,3977337,8403,130198626
90,AR_PAgis_2010/,AR_PAgis,2010,-10326515,4093951,-38369,-10249255,4171211,38891,4575092204
91,AR_UpperBlackWatershed-FEMA_2012/,AR_UpperBlackWatershed-FEMA,2012,-10104451,4334309,-16810,-10069527,4369233,18114,261648865
92,AR_UpperWhiteVillage-FEMA_2012/,AR_UpperWhiteVillage-FEMA,2012,-10182080,4218633,-18652,-10144234,4256479,19194,258933093
93,AZ_AubreyCherry_1_2020/,AZ_AubreyCherry_1,2020,-12615590,4101752,-89127,-12435056,4282286,91407,47637472186
94,AZ_Black_Mesa_CoalMine_2012/,AZ_Black_Mesa_CoalMine,2012,-12305452,4350695,-15455,-12270078,4386069,19919,1387580652
95,AZ_BrawleyRillito_TL_2018/,AZ_BrawleyRillito_TL,2018,-12468418,3703535,-53762,-12358244,3813709,56412,2012169181
96,AZ_Cochise-FEMA_2012/,AZ_Cochise-FEMA,2012,-12212387,3666878,-11969,-12185605,3693660,14813,681234254
97,AZ_CochiseCounty_1_2020/,AZ_CochiseCounty_1,2020,-12428449,3649299,-63837,-12296511,3781237,68101,69840833564
98,AZ_CochiseCounty_2_2020/,AZ_CochiseCounty_2,2020,-12293471,3810968,-36446,-12217029,3887410,39996,27794413650
99,AZ_CochiseCounty_3_2020/,AZ_CochiseCounty_3,2020,-12302668,3674657,-71757,-12156306,3821019,74605,135984057963
100,AZ_Coconino_B1_2019/,AZ_Coconino_B1,2019,-12493181,4097838,-66152,-12355423,4235596,71606,55223690056
101,AZ_FEMA_Central_2017/,AZ_FEMA_Central,2017,-12422611,3942940,-6670,-12407837,3957714,8104,512114526
102,AZ_FEMA_East_2017/,AZ_FEMA_East,2017,-12530094,3675988,-206520,-12116116,4089966,207458,57603895833
103,AZ_LowerColoradoRiver_B1_2018/,AZ_LowerColoradoRiver_B1,2018,-12832760,4191235,-118485,-12594172,4429823,120103,20245911805
104,AZ_LowerColoradoRiver_B2_2018/,AZ_LowerColoradoRiver_B2,2018,-12879605,3826305,-182525,-12513727,4192183,183353,41403044491
105,AZ_MaricopaPinal_1_2020/,AZ_MaricopaPinal_1,2020,-12555543,3833170,-95045,-12363849,4024864,96649,249923645502
106,AZ_MohaveCo_1_2021/,AZ_MohaveCo_1,2021,-12819909,4113896,-95312,-12626953,4306852,97644,11374784451
107,AZ_MohaveCo_2_2021/,AZ_MohaveCo_2,2021,-12711559,4111401,-55319,-12598483,4224477,57757,1250826759
108,AZ_NavajoCorridor_1_2020/,AZ_NavajoCorridor_1,2020,-12329682,4123300,-36710,-12253164,4199818,39808,3662966237
109,AZ_NorthKaibabNF_B1_2019/,AZ_NorthKaibabNF_B1,2019,-12544006,4336736,-45252,-12449730,4431012,49024,54617434562
110,AZ_OrganPipeCactusNM_1_2020/,AZ_OrganPipeCactusNM_1,2020,-12588909,3737623,-26111,-12535161,3791371,27637,22802964877
111,AZ_SanCarlosReservation_2013/,AZ_SanCarlosReservation,2013,-12233799,3939340,-6445,-12216767,3956372,10587,2878839278
112,AZ_Tucson_2011/,AZ_Tucson,2011,-12417461,3722859,-66272,-12280261,3860059,70928,8489218500
113,AZ_USFS_3DEP_Processing_2019/,AZ_USFS_3DEP_Processing,2019,-12614432,3717376,695,-11941728,4390080,673399,116053962823
114,CA_AlamedaCo_2006/,CA_AlamedaCo,2006,-11770929,4840238,161,-11767223,4843944,3867,2910147
115,CA_AlamedaCo_2_2021/,CA_AlamedaCo_2,2021,-13624196,4501616,-30843,-13564118,4561694,29235,26097078802
116,CA_CalaverasTuolumne_2011/,CA_CalaverasTuolumne,2011,-13469941,4526002,-47102,-13373915,4622028,48924,16524444596
117,CA_CarrHirzDeltaFires_1_2019/,CA_CarrHirzDeltaFires_1,2019,-13775240,4909838,-77520,-13617194,5067884,80526,178322998175
118,CA_CarrHirzDeltaFires_2_2019/,CA_CarrHirzDeltaFires_2,2019,-13663989,4902862,-83806,-13492255,5074596,87928,205437066934
119,CA_ContraCostaCo_2007/,CA_ContraCostaCo,2007,-13583567,4547199,-23828,-13535733,4595033,24006,6168983
120,CA_DayFire_2007/,CA_DayFire,2007,-13250846,4083496,-22925,-13201376,4132966,26545,11428994376
121,CA_FEMAR9Estrella_2019/,CA_FEMAR9Estrella,2019,-13475705,4157536,-71,-13307393,4325848,168241,13569325859
122,CA_FEMAR9Fresno_1_2019/,CA_FEMAR9Fresno_1,2019,-13432838,4371041,-42650,-13347268,4456611,42920,8691008794
123,CA_FEMAR9Fresno_2_2019/,CA_FEMAR9Fresno_2,2019,-18526410,-769376,-5368260,-8124362,9632672,5033788,12672441896
124,CA_FEMAR9PanocheSanLuis_2019/,CA_FEMAR9PanocheSanLuis,2019,-13473346,4348284,-28659,-13414292,4407338,30395,4616255308
125,CA_FEMA_Z1_2018/,CA_FEMA_Z1,2018,-13759579,4848966,-128899,-13500085,5108460,130595,5468602112
126,CA_FEMA_Z4_B1_2018/,CA_FEMA_Z4_B1,2018,-13604296,4318487,-90315,-13422432,4500351,91549,46246018795
127,CA_FEMA_Z4_B2_2018/,CA_FEMA_Z4_B2,2018,-13570845,4157019,-94782,-13379863,4348001,96200,56736178128
128,CA_FEMA_Z4_QL1_2018/,CA_FEMA_Z4_QL1,2018,-13458345,4324185,-8496,-13440151,4342379,9698,588139151
129,CA_LassenNP_2020/,CA_LassenNP,2020,-13530341,4925253,-15058,-13496407,4959187,18876,4642900288
130,CA_LowerBearCreek_2020/,CA_LowerBearCreek,2020,-13452168,4447860,-35234,-13381286,4518742,35648,2225982767
131,CA_MountainPass_B1_2019/,CA_MountainPass_B1,2019,-12920531,4137625,-81584,-12754373,4303783,84574,47823398674
132,CA_NoCAL_Wildfires_TL_QL1_2018/,CA_NoCAL_Wildfires_TL_QL1,2018,-13545279,4782892,-23296,-13497535,4830636,24448,301172826
133,CA_NoCAL_Wildfires_TL_QL2_2018/,CA_NoCAL_Wildfires_TL_QL2,2018,-13833397,4532182,-236748,-13357535,5008044,239114,4849990608
134,CA_OrangeCo_2011/,CA_OrangeCo,2011,-13151931,3951836,-36020,-13079627,4024140,36284,6325827165
135,CA_PlacerCo_2012/,CA_PlacerCo,2012,-13512406,4649504,-76427,-13357014,4804896,78965,4961233219
136,CA_SaltonSea_2010/,CA_SaltonSea,2010,-12930243,3901069,-35507,-12858611,3972701,36125,7150136823
137,CA_SantaClaraCounty_2020/,CA_SantaClaraCounty,2020,-13609013,4404918,-59871,-13487521,4526410,61621,170420824394
138,CA_SantaCruzCounty_2020/,CA_SantaCruzCounty,2020,-13617757,4406328,-37661,-13540461,4483624,39635,41808461973
139,CA_Scripps-Apr_2004/,CA_Scripps-Apr,2004,-13119734,3873880,-41696,-13036246,3957368,41792,186415844
140,CA_Scripps-Apr_2005/,CA_Scripps-Apr,2005,-13178950,3837323,-80196,-13018426,3997847,80328,422432488
141,CA_Scripps-Dec_2002/,CA_Scripps-Dec,2002,-13121128,3873238,-42479,-13036268,3958098,42381,121703264
142,CA_Scripps-Mar_2003/,CA_Scripps-Mar,2003,-13120307,3873675,-42019,-13036165,3957817,42123,126916578
143,CA_Scripps-Mar_2006/,CA_Scripps-Mar,2006,-13181565,3830458,-83623,-13014187,3997836,83755,401726948
144,CA_Scripps-May_2002/,CA_Scripps-May,2002,-13119610,3873810,-42083,-13035300,3958120,42227,126671805
145,CA_Scripps-Oct_2003/,CA_Scripps-Oct,2003,-13158204,3830751,-74017,-13010046,3978909,74141,214541866
146,CA_Scripps-Oct_2005/,CA_Scripps-Oct,2005,-13180262,3833549,-81941,-13016250,3997561,82071,530317000
147,CA_Scripps-Sep_2002/,CA_Scripps-Sep,2002,-13122747,3874444,-43038,-13036569,3960622,43140,165137184
148,CA_Scripps-Sep_2004/,CA_Scripps-Sep,2004,-13179598,3835599,-81035,-13017394,3997803,81169,501546868
149,CA_UpperSouthAmerican_Eldorado_2019/,CA_UpperSouthAmerican_Eldorado,2019,-13547690,4501273,-106004,-13332904,4716059,108782,278540573208
150,CO_ArkansasValley_2010/,CO_ArkansasValley,2010,-11904580,4599366,-88067,-11722618,4781328,93895,5938170231
151,CO_CentralEasternPlains_1_2020/,CO_CentralEasternPlains_1,2020,-11546070,4744243,-92490,-11358496,4931817,95084,55761902351
152,CO_CentralEasternPlains_2_2020/,CO_CentralEasternPlains_2,2020,-11585454,4538047,-112289,-11358334,4765167,114831,32115753196
153,CO_DRCOG_1_2020/,CO_DRCOG_1,2020,-11766727,4834906,-31000,-11698903,4902730,36824,19912349351
154,CO_DRCOG_2_2020/,CO_DRCOG_2,2020,-11750922,4747121,-76977,-11592240,4905803,81705,39372539042
155,CO_DRCOG_3_2020/,CO_DRCOG_3,2020,-11879530,4799673,-90124,-11692698,4986505,96708,58382624205
156,CO_DenverDNC_2008/,CO_DenverDNC,2008,-11724341,4783807,-44438,-11630695,4877453,49208,6429604054
157,CO_Denver_2008/,CO_Denver,2008,-11724341,4783807,-44438,-11630695,4877453,49208,4224285688
158,CO_Eastern_B1_2018/,CO_Eastern_B1,2018,-11682481,4886383,-80153,-11517453,5051411,84875,24255518161
159,CO_Eastern_B2_QL1_Central_2018/,CO_Eastern_B2_QL1_Central,2018,-11672694,4829188,-13194,-11641506,4860376,17994,2295491973
160,CO_Eastern_B2_QL2_Central_2018/,CO_Eastern_B2_QL2_Central,2018,-11684017,4764307,-10645,-11657271,4791053,16101,1024996619
161,CO_Eastern_B2_QL2_North_2018/,CO_Eastern_B2_QL2_North,2018,-11678405,4797138,-78036,-11517461,4958082,82908,20957276127
162,CO_Eastern_B3_2018/,CO_Eastern_B3,2018,-11651193,4693403,-81574,-11482925,4861671,86694,29565039389
163,CO_Eastern_B4_2018/,CO_Eastern_B4,2018,-11583121,4640975,-47369,-11483895,4740201,51857,14370321066
164,CO_Eastern_B5_2018/,CO_Eastern_B5,2018,-11695280,4498698,-87226,-11510104,4683874,97950,24651034909
165,CO_Eastern_B6_2018/,CO_Eastern_B6,2018,-11752773,4436714,-70342,-11606345,4583142,76086,25382981671
166,CO_Eastern_ElPaso_2018/,CO_Eastern_ElPaso,2018,-11696762,4639625,-51511,-11581730,4754657,63521,19779340111
167,CO_Eastern_North_Priority_2018/,CO_Eastern_North_Priority,2018,-11682415,4837931,-77741,-11522205,4998141,82469,1214524712
168,CO_Eastern_South_Priority2_2018/,CO_Eastern_South_Priority2,2018,-11727743,4478778,-32129,-11652623,4553898,42991,6056552167
169,CO_NESEColorado_1_2019/,CO_NESEColorado_1,2019,-11510558,4541323,-74498,-11359336,4692545,76724,10824760393
170,CO_NESEColorado_2_2019/,CO_NESEColorado_2,2019,-11616236,4436841,-70531,-11471416,4581661,74289,41310716913
171,CO_NESEColorado_3_2019/,CO_NESEColorado_3,2019,-11489783,4437974,-71925,-11343481,4584276,74377,41873464471
172,CO_NESEColorado_4_2019/,CO_NESEColorado_4,2019,-11530831,4870303,-84188,-11360121,5041013,86522,47544723148
173,CO_San-Luis-Valley_2011/,CO_San-Luis-Valley,2011,-11865680,4438025,-80639,-11698122,4605583,86919,18589903247
174,CO_SanLuisJuanMiguel_1_2020/,CO_SanLuisJuanMiguel_1,2020,-11801733,4417874,-44825,-11705645,4513962,51263,14362040017
175,CO_SanLuisJuanMiguel_2_2020/,CO_SanLuisJuanMiguel_2,2020,-11964549,4623599,-83182,-11794023,4794125,87344,28590791063
176,CO_SanLuisJuanMiguel_3_2020/,CO_SanLuisJuanMiguel_3,2020,-11980275,4436869,-97144,-11778307,4638837,104824,48050246218
177,CO_SanLuisJuanMiguel_4_2020/,CO_SanLuisJuanMiguel_4,2020,-12066554,4547297,-64016,-11932818,4681033,69720,16884164275
178,CO_SanLuisJuanMiguel_5_2020/,CO_SanLuisJuanMiguel_5,2020,-12145607,4553891,-60960,-12018307,4681191,66340,44622737361
179,CO_Southwest_NRCS_B1_2018/,CO_Southwest_NRCS_B1,2018,-12140441,4380106,-119169,-11897477,4623070,123795,46020121049
180,CO_Southwest_NRCS_B2_2018/,CO_Southwest_NRCS_B2,2018,-12066019,4477905,-76180,-11908577,4635347,81262,62785474729
181,CO_Southwest_NRCS_B3_2018/,CO_Southwest_NRCS_B3,2018,-12063686,4375801,-103405,-11851610,4587877,108671,72933186796
182,CO_Southwest_NRCS_TL_2018/,CO_Southwest_NRCS_TL,2018,-12140481,4353627,-115237,-11905293,4588815,119951,34218484286
183,CO_UpperColorado_Hydroflattened_2020/,CO_UpperColorado_Hydroflattened,2020,-11969787,4648085,-117509,-11730103,4887769,122175,6427005630
184,CO_UpperColorado_Topobathy_1_2020/,CO_UpperColorado_Topobathy_1,2020,-11969787,4648085,-117509,-11730103,4887769,122175,6427005630
185,CO_WestCentral_2019/,CO_WestCentral,2019,-12021315,4584847,-102219,-11814971,4791191,104125,100975650743
186,CT_Statewide_B1_2016/,CT_Statewide_B1,2016,-8208574,4982121,-57796,-8092404,5098291,58374,10828712358
187,CT_Statewide_B2_2016/,CT_Statewide_B2,2016,-8092424,5018055,-50459,-7990694,5119785,51271,10385920008
188,CT_Statewide_B3_2016/,CT_Statewide_B3,2016,-8187799,5041877,-47583,-8092383,5137293,47833,8575205954
189,CT_Statewide_B4_2016/,CT_Statewide_B4,2016,-8092392,5061435,-50695,-7990328,5163499,51369,5164571322
190,CT_Statewide_B5_2016/,CT_Statewide_B5,2016,-8185138,5078466,-46224,-8092360,5171244,46554,8397546759
191,CT_Statewide_B6_2016/,CT_Statewide_B6,2016,-8092372,5097146,-50400,-7991030,5198488,50942,5929558225
192,CT_Statewide_B7_2016/,CT_Statewide_B7,2016,-8183333,5110514,-45131,-8092345,5201502,45857,7157614145
193,FL_CharlotteCounty_2007/,FL_CharlotteCounty,2007,-9169596,3059567,-44738,-9079122,3150041,45736,1338575605
194,FL_ClayPutnam_2007/,FL_ClayPutnam,2007,-9146586,3418808,-55500,-9035510,3529884,55576,6312727189
195,FL_DuvalCo_2007/,FL_DuvalCo,2007,-9135441,3509122,-39662,-9057833,3586730,37946,5276338808
196,FL_Elgin_2006-2008/,FL_Elgin_2006,2008,-9609495,3562883,-12280,-9586185,3586193,11030,859586622
197,FL_EscambiaCo_2006/,FL_EscambiaCo,2006,-9758757,3538483,-47437,-9663447,3633793,47873,1403952287
198,FL_Everglades_N_2017/,FL_Everglades_N,2017,-9035740,2918662,-38132,-8960260,2994142,37348,56955000608
199,FL_Everglades_S_2017/,FL_Everglades_S,2017,-9020204,2884370,-33505,-8953850,2950724,32849,69956707513
200,FL_FlaglerCo_2004/,FL_FlaglerCo,2004,-9073296,3416733,-24213,-9028176,3461853,20907,334091829
201,FL_FranklinCo_2007/,FL_FranklinCo,2007,-9602960,3449192,-116331,-9369786,3682366,116843,7859303554
202,FL_Gulf_2007/,FL_Gulf,2007,-9523917,3457785,-37320,-9449557,3532145,37040,8250884364
203,FL_HerbHooverDike_2007/,FL_HerbHooverDike,2007,-9053159,3030661,-66516,-8920057,3163763,66586,6423962557
204,FL_HillsboroughCo-Lot2_2011/,FL_HillsboroughCo-Lot2,2011,-9202888,3226426,-26022,-9149288,3280026,27578,1922492641
205,FL_HillsboroughCo_2007/,FL_HillsboroughCo,2007,-9204615,3204591,-28929,-9145763,3263443,29923,3678461552
206,FL_HurricaneMichael_1_2020/,FL_HurricaneMichael_1,2020,-9432423,3474266,-50652,-9329881,3576808,51890,51468529326
207,FL_HurricaneMichael_2_2020/,FL_HurricaneMichael_2,2020,-9360078,3544362,-22512,-9313758,3590682,23808,24780264261
208,FL_HurricaneMichael_3_2020/,FL_HurricaneMichael_3,2020,-9489700,3450303,-71888,-9344670,3595333,73142,83448943893
